ESID,Data Collector Affiliations,Latitude,Longitude,Local Eclipse Type,Eclipse Percent (%),WAV Files Time & Date Settings,Data Collector Start Time Notes,Eclipse Date,Eclipse Start Time (UTC) (1st Contact),Totality Start Time (UTC) (2nd Contact),Eclipse Maximum (UTC),Totality End Time (UTC) (3rd Contact),Eclipse End Time (UTC) (4th Contact),Version,Keywords and subjects,year
325,,33.375983,-88.813215,Partial,89.9,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:37:01,N/A,18:56:39,N/A,20:14:55,2024.0.0,2024 Total Solar Eclipse,2024
327,,35.2894316,-82.7642812,Partial,84.01,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:50:29,N/A,19:08:49,N/A,20:24:18,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
329,,35.499,-82.608366,Partial,84.46,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:51:00,0:00:00,19:09:17,0:00:00,20:24:40,2024.0.0,2024 Total Solar Eclipse: NESEC Collection Site ,2024
331,Gulf of Maine Research Institute,44.7151375,-67.4658051,Partial,97.69,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:22:07,N/A,19:34:03,N/A,20:41:34,2024.0.0,2024 Total Solar Eclipse: GMRI Collection Site: ES Data Analysis Site,2024
332,Gulf of Maine Research Institute,46.86885,-68.007957,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:22:15,19:32:25,19:33:28,19:34:31,20:40:36,2024.1.0,2024 Total Solar Eclipse: GMRI Collection Site: ES Data Analysis Site,2024
333,Gulf of Maine Research Institute,46.7426705,-67.9548206,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:22:15,19:32:11,19:33:31,19:34:51,20:40:41,2024.1.0,2024 Total Solar Eclipse: GMRI Collection Site: ES Data Analysis Site,2024
334,Gulf of Maine Research Institute,43.9413872,-70.8661975,Partial,98.12,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:17:06,N/A,19:30:15,N/A,20:39:12,2024.0.0,2024 Total Solar Eclipse: GMRI Collection Site,2024
336,Gulf of Maine Research Institute,44.41651281,-70.06339023,Partial,98.92,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:18:27,N/A,19:31:13,N/A,20:39:45,2024.0.0,2024 Total Solar Eclipse: GMRI Collection Site: ES Data Analysis Site,2024
337,Gulf of Maine Research Institute,46.6848,-67.87248,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:22:20,19:32:10,19:33:36,19:35:03,20:40:45,2024.1.0,2024 Total Solar Eclipse: GMRI Collection Site: ES Data Analysis Site,2024
339,Gulf of Maine Research Institute,46.1308,-67.82575,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:22:10,19:32:01,19:33:40,19:35:19,20:40:58,2024.1.0,2024 Total Solar Eclipse: GMRI Collection Site: ES Data Analysis Site,2024
341,,45.05632,-70.20339,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:18:35,19:30:00,19:31:08,19:32:16,20:39:33,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
343,Alcorn State University,31.88207,-91.14704,Partial,90.38,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:30:38,N/A,18:50:38,N/A,20:10:01,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
344,,42.755781,-72.273754,Partial,95.42,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:14:25,N/A,19:28:21,N/A,20:38:06,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
345,Ocean County College,40.0066347,-74.1605021,Partial,87.44,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:09:48,N/A,19:24:59,N/A,20:35:58,2024.0.0,2024 Total Solar Eclipse ,2024
347,Central State University,39.71116,-83.85999,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:53:52,19:10:32,19:11:11,19:11:50,20:25:52,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
349,Alcorn State University,31.86939,-91.13199,Partial,90.31,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:30:39,N/A,18:50:39,N/A,20:10:01,2024.0.0,2024 Total Solar Eclipse ,2024
350,,43.0413078,-78.4538938,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:05:36,19:18:52,19:20:44,19:22:36,20:32:30,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
356,Woodstock Public Library,42.04103,-74.12232,Partial,95.01,Needs to be set manually,11:01:00 AM US Eastern,2024-04-08,18:11:12,N/A,19:25:51,N/A,20:36:28,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
361,,44.25295,-75.60812,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:10:40,19:22:59,19:24:45,19:26:31,20:35:11,2024.1.0,2024 Total Solar Eclipse ,2024
363,,43.246351,-78.709993,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:05:26,19:18:46,19:20:30,19:22:14,20:32:15,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
367,Clifton Park-Halfmoon Library,42.85830313,-73.79308336,Partial,97.51,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:12:14,N/A,19:26:32,N/A,20:36:49,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
368,,42.8751215,-78.7845108,Total,100,Needs to be set manually,11:15:00 AM US Eastern,2024-04-08,18:04:58,19:18:21,19:20:14,19:22:07,20:32:09,2024.1.0,2024 Total Solar Eclipse ,2024
370,Woodward Memorial Library,42.97896,-77.90236,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:06:20,19:19:37,19:21:25,19:23:13,20:33:02,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
371,,42.206865,-78.135582,Partial,99.99,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:05:17,N/A,19:20:45,N/A,20:32:44,2024.0.0,2024 Total Solar Eclipse ,2024
373,Onondaga Middle School,43.009303,-76.1806,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,18:08:51,19:23:01,19:23:37,19:24:13,20:34:41,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
375,,40.7831545,-84.0028968,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:54:59,19:09:54,19:11:50,19:13:45,20:26:05,2024.1.0,2024 Total Solar Eclipse ,2024
376,,40.877923,-81.3836563,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:59:02,19:15:05,19:15:35,19:16:05,20:29:05,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
377,Dayton Regional STEM School,39.807606,-83.88765,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:53:57,19:10:07,19:11:13,19:12:19,20:25:52,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
378,,40.7267496,-84.1969452,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:54:38,19:09:36,19:11:30,19:13:25,20:25:50,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
379,,40.3824626,-82.2925037,Partial,99.97,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:57:05,N/A,19:13:57,N/A,20:27:55,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
380,,40.9198853,-83.9845502,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:55:11,19:10:07,19:11:57,19:13:48,20:26:09,2024.1.0,2024 Total Solar Eclipse ,2024
381,,40.6083288,-82.5102391,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:57:01,19:12:25,19:13:49,19:15:13,20:27:45,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
382,,40.05753,-82.87494,Partial,99.91,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:55:49,N/A,19:12:53,N/A,20:27:08,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
383,,40.7325,-84.183611,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:54:40,19:09:37,19:11:32,19:13:26,20:25:51,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
384,,40.160117,-82.923983,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:55:51,19:12:20,19:12:53,19:13:27,20:27:07,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
386,,41.55179,-84.36058,Partial,99.74,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:55:27,N/A,19:11:54,N/A,20:25:52,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
387,Clermont County Library,39.0961846,-84.2605954,Partial,99.38,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:52:29,N/A,19:10:05,N/A,20:25:07,2024.0.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
390,Great Parks of Hamilton County,39.2605873,-84.7510839,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:51:55,19:08:47,19:09:30,19:10:12,20:24:36,2024.1.0,2024 Total Solar Eclipse ,2024
391,,41.3810753,-83.6755355,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:56:13,19:11:18,19:12:44,19:14:10,20:26:38,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
394,,41.56039,-81.41947,Total,100,Needs to be set manually,10:18:00 AM US Eastern,2024-04-08,17:59:44,19:14:06,19:15:59,19:17:52,20:29:12,2024.1.0,2024 Total Solar Eclipse ,2024
395,,40.7661489,-81.7328776,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:58:23,19:14:14,19:15:01,19:15:48,20:28:40,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
397,West Woods Nature Center,41.42148,-81.15892,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:59:58,19:14:34,19:16:15,19:17:55,20:29:28,2024.1.0,2024 Total Solar Eclipse ,2024
399,,39.7174127,-84.1697339,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:53:24,19:09:29,19:10:44,19:11:59,20:25:30,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
404,,39.88126,-84.03071,Total,100,Set with Automated AudioMoth Time Chime,N/A,2024-04-08,17:53:49,19:09:37,19:11:04,19:12:32,20:25:44,2024.1.0,2024 Total Solar Eclipse: ES Data Analysis Site,2024
